 JAMES CONSTRUCTION INTERNATIONAL  ,"3/18 Salvado Dr, Smithfield QLD 4870 "
 East Coast Energy Solutions  ,"3/200 Spence St, Cairns City QLD 4870 "
 Integrity New Homes Cairns  ,"3/31 Anderson St, Manunda QLD 4870 "
 Southside Electrical Cairns  ,"3/52 Supply Rd, Bentley Park QLD 4869 "
 Five Rivers Construction -,"300 Draper St, Parramatta Park QLD 4870 "
 Fair Dinkum Sheds Cairns  ,"311-313 Mulgrave Rd, Bungalow QLD 4870 "
 Bestruct  ,"315 McLeod St, Cairns North QLD 4870 "
 Bryant Building Contractors  ,"32 Minnie St, Cairns City QLD 4870 "
 Andys Sheetmetal  ,"33 Supply Rd, Bentley Park QLD 4869 "
 David's Group  ,"34 Esplanade, Cairns City QLD 4870 "
 DFK Kidsons  ,"345 Sheridan St, Cairns North QLD 4870 "
 Prime Constructions (Aust)  ,"36 Moffat St, Cairns North QLD 4870 "
 Unlocked Air and Energy  ,"36b Leonard St, Kewarra Beach QLD 4870 "
 A1 Dial A Guard security services  ,"37 Pease St, Cairns City QLD 4870 "
 Consolidated Tin Mines Limited  ,"395 Lake St, Cairns North QLD 4870 "
 Duce Constructions Pty Ltd  ,"4 Sorrento St, Woree QLD 4868 "
 Cool Build  ,"4/9 Grantala St, Manoora QLD 4870 "
 Image Landscapes Design & Construction  ,"40 Satellite St, Clifton Beach QLD 4879 "
 Dati Electrical Pty Ltd  ,"4-16 Tingira St, Portsmith QLD 4870 "
 ARO Industries  ,"44 McLeod St, Cairns City QLD 4870 "
 Lethal Welding & Fabrication  ,"468-470 Sheridan St, Cairns City QLD 4870 "
 Keadeen Electrical  ,"5 Clarke St, Manunda QLD 4870 "
 MiHaven  ,"5 Palm Ave, Parramatta Park QLD 4870 "
 H.C Building & Construction  ,"5 Vickers St, Edmonton QLD 4869 "
 TSW Security Solutions  ,"5/113 Sheridan St, Cairns City QLD 4870 "
 AIR FLEET MANAGEMENT  ,"5/132 Collins Ave, Cairns City QLD 4870 "
 FGF Developments Pty Ltd  ,"5/2 James St, Cairns City QLD 4870 "
 Field Construct  ,"5/34 Magazine St, Stratford QLD 4870 "
 Maddocks & Associates PTY LTD  ,"5/520 Mulgrave Rd, Earlville QLD 4870 "
 QCC Corp  ,"53 Grafton St, Cairns City QLD 4870 "
 MyStyle Homes  ,"55 Anderson St, Manunda QLD 4870 "
 McKenna Group Contractors Pty Ltd  ,"550 Mulgrave Rd, Woree QLD 4868 "
 Gillespie Plant Hire  ,"56 Cairns St, Cairns North QLD 4870 "
 Boscon Constructions Pty Ltd  ,"57 Scott St, Bungalow QLD 4870 "
 Rapid Rubbish Removal FNQ  ,"59 Carnation Dr, Mooroobool QLD 4870 "
 ADJ ELECTRONICS  ,"6 Jade Cres, Caravonica QLD 4878 "
 D&R Lavis Waste Disposal  ,"6 Liberty St, Portsmith QLD 4870 "
 Buzzed Electrical + Air  ,"6 Mills Cl, Manoora QLD 4870 "
 Ross Argent Structural Engineer  ,"6/155 Mulgrave Rd, Bungalow QLD 4870 "
 CIVFORM  ,"64 Swallow Rd, Edmonton QLD 4869 "
 Mainline Boring Pty Ltd  ,"65 Nelson St, Cairns City QLD 4870 "
 Unique Constructions  ,"68 Argentea Blvd, Palm Cove QLD 4878 "
 SJ Lloyd Construction  ,"6-8 James Cook Dr, Kewarra Beach QLD 4879 "
 Mick Newport Contracting  ,"7 Bollard St, Portsmith QLD 4870 "
 Australian Sustainable Energy Pty  ,"7 Industrial Ave, Stratford QLD 4870 "
 Triple S Earthmoving & Pipelaying,"7 Redden St, Cairns City QLD 4870 "
 Nordig Pty Ltd.  ,"7 Southgate Cl, Woree QLD 4868 "
 HPS Contractors  ,"71 Aumuller St, Portsmith QLD 4870 "
 Far North Fabrication  ,"72 Cook St, Portsmith QLD 4870 "
 Maxitool Mining  ,"74 Swallow Rd, Edmonton QLD 4869 "
 Tropical Skips - Skip Bin Hire Cairns -  ,"76 Lower Freshwater Rd, Freshwater QLD 4870 "
 NQEA  ,"76/78 Cook St, Portsmith QLD 4870 "
 Jackson & Jackson Metal Industries  ,"77 Buchan St, Portsmith QLD 4870 "
 Sequal Consulting Group Pty Ltd  ,"78 Mulgrave Rd, Bungalow QLD 4870 "
 Reef City Maintenance & Construction  ,"8 Commercial Pl, Earlville QLD 4870 "
 DNC Metal Works  ,"8 Federation St, Bungalow QLD 4870 "
 Kingsleys Earthmoving Contractors  ,"8 Gosper Cl, Edmonton QLD 4869 "
 Valour Security  ,"8 Mount Koolmoon St, Smithfield QLD 4878 "
 N.B. Prop Works  ,"8 Svendsen St, Bungalow QLD 4870 "
 Electrical Installation Specialists  ,"8/136 Aumuller St, Bungalow QLD 4870 "
 Solarcore  ,"8/3 Donaldson St, Manunda QLD 4870 "
 PASMA ELECTRICAL  ,"8/4 Tingira St, Portsmith QLD 4870 "
 Australian Infrastructure Manufacturing  ,"87-91 Kenny St, Portsmith QLD 4870 "
 Kirby Cairns  ,"88/90 Buchan St, Cairns City QLD 4870 "
 Lazco Fabrications  ,"8A Redden St, Portsmith QLD 4870 "
 Alchemy All Metal Fabricators  ,"9 Owen Cl, Portsmith QLD 4870 "
 Cairns Mining Australia Ltd  ,"90 Magazine St, Stratford QLD 4870 "
 Black & More  ,"93 Digger St, Cairns North QLD 4870 "
 Phil Kelly Builders  ,"97 Moore Rd, Kewarra Beach QLD 4879 "
 Probis Advisory (QLD) Pty Ltd  ,"a/141 Abbott St, Cairns City QLD 4870 "
 Do4U Construction Services  ,"Boland Centre, 14 Spence St, Cairns City QLD 4870 "
 wildPLAN  ,"Boland's Centre, 14 Spence St, Cairns City QLD 4870 "
 Civil Infrastructure Services  ,"c7/21 Lake St, Cairns City QLD 4870 "
 Total Safety Services  ,"Cnr Water and Minnie Streets, 30 Minnie Street, Cairns City QLD 4870 "
 Precision Electrics  ,"Gelling St, Cairns North QLD 4870 "
 Harris Kmon Solutions  ,"Ground Floor, 25 Howe St, Cairns North QLD 4870 "
 Integrated Medical Services  ,"Level 1, Wallamurra Towers, 189-191 Abbott Street, Cairns City QLD 4870 "
 Archers the Strata Professionals  ,"level 1/26 Florence St, Cairns City QLD 4870 "
 Arup  ,"Level 10/15 Lake St, Cairns City QLD 4870 "
 Paynters Pty Ltd  ,"office 5 level 2/26 Florence St, Cairns City QLD 4870 "
 Cairns Powder Coating  ,"Shed 2 Cnr Toohey &, Palmer St, Portsmith QLD 4870 "
 Intrust Energy Solutions  ,"Shed 2B/49-55 Cook St, Portsmith QLD 4870 "
 Ground Level Fab.  ,"Shed 3/61 Hargreaves St, Edmonton QLD 4869 "
 Cairns Sheetmetal  ,"Shed 7/36 Buchan St, Portsmith QLD 4870 "
 Boyd's Fabrications  ,"Shed, 9 Palmer St, Portsmith QLD 4870 "
 James McPeake Town Planning  ,"Suite 2 level 2/82 Grafton St, Cairns City QLD 4870 "
 Kleinhardt Business Consutants ,"Suite 27, The Pentagon Building, 25 Grafton Street, Cairns City QLD 4870 "
 Complete Business Solutions (QLD) Pty Ltd  ,"Suite 4/59 McLeod St, Cairns City QLD 4870 "
 Thirkell  ,"Suite 6/36-38 Grafton St, Cairns City QLD 4870 "
